id,source_id,pattern,document,right_summary,hallucinated_summary,is_hallucinated
7766::Non-factual,7766,Non-factual,"আমার ১৯সপ্তাহ প্রেগন্যন্সি চলছে , এই মুহূর্তে আমার ঔষুধ চার্ট শেয়ার করছি , এইটা কি একইভাবে চালিয়ে যাব , নাকি কোন পরিবর্তনের দরকার , জানালে উপকার হয় , প্লিজ . . . মাক্সপ্রো ক্যপ - ১ + ০ + ১ থাইরিন ৫০ - ১ + ০ + ০ প্রিকেয়ার - ১ + ০ + ১ ফলিক জেড - ১ + ০ + ১ কারভা৭৫ - ০ + ১ + ০ আইপ্যাক প্লাস - ০ + ০ + ১ ক্যালসিন ডি - ০ + ০ + ১ . . . যদি কিছু পাল্টাতে হয় , জানাবেন প্লিজ . . . ধন্যবাদ . . .",১৯ সপ্তাহ যাবত প্রেগন্যান্সি চলছে । ওষুধ চার্ট - মাক্সপ্রো ক্যপ - ১ + ০ + ১ থাইরিন ৫০ - ১ + ০ + ০ প্রিকেয়ার - ১ + ০ + ১ ফলিক জেড - ১ + ০ + ১ কারভা৭৫ - ০ + ১ + ০ আইপ্যাক প্লাস - ০ + ০ + ১ ক্যালসিন ডি - ০ + ০ + ১ । এটা কি পরিবর্তনের দরকার আছে ?,"২০ সপ্তাহের প্রেগন্যান্সি চলছে। ওষুধ চার্ট— মাক্সপ্রো ক্যাপ ১+০+১, থাইরিন ৭৫ ১+০+০, প্রিকেয়ার ১+০+১, ফলিক জেড ১+০+১, কারভা৭৫ ০+১+০, আইপ্যাক প্লাস ০+০+১, ক্যালস",yes
7766::Factual Contradiction,7766,Factual Contradiction,"আমার ১৯সপ্তাহ প্রেগন্যন্সি চলছে , এই মুহূর্তে আমার ঔষুধ চার্ট শেয়ার করছি , এইটা কি একইভাবে চালিয়ে যাব , নাকি কোন পরিবর্তনের দরকার , জানালে উপকার হয় , প্লিজ . . . মাক্সপ্রো ক্যপ - ১ + ০ + ১ থাইরিন ৫০ - ১ + ০ + ০ প্রিকেয়ার - ১ + ০ + ১ ফলিক জেড - ১ + ০ + ১ কারভা৭৫ - ০ + ১ + ০ আইপ্যাক প্লাস - ০ + ০ + ১ ক্যালসিন ডি - ০ + ০ + ১ . . . যদি কিছু পাল্টাতে হয় , জানাবেন প্লিজ . . . ধন্যবাদ . . .",১৯ সপ্তাহ যাবত প্রেগন্যান্সি চলছে । ওষুধ চার্ট - মাক্সপ্রো ক্যপ - ১ + ০ + ১ থাইরিন ৫০ - ১ + ০ + ০ প্রিকেয়ার - ১ + ০ + ১ ফলিক জেড - ১ + ০ + ১ কারভা৭৫ - ০ + ১ + ০ আইপ্যাক প্লাস - ০ + ০ + ১ ক্যালসিন ডি - ০ + ০ + ১ । এটা কি পরিবর্তনের দরকার আছে ?,"১৯ সপ্তাহের প্রেগন্যান্সি চলছে না। ওষুধ চার্টে মাক্সপ্রো ক্যাপ ১+০+১, থাইরিন ৫০ ০+১+০, প্রিকেয়ার ১+০+১, ফলিক জেড ১+০+১, কারভা৭৫ ১+০+০, আইপ্যাক প্লাস ০+০+১, ক্যালস",yes
4136::Intrinsic,4136,Intrinsic,আমার বাবা বয়স ৬৫ তার ব্লাড পেসার সব সময় ১৬০ / ১০০ কিংবা তার চেয়ে বেশি থাকে এক ডাঃ এর পরামর্শ তে ৷ ১০ দিন ৷ কার্ডিনর ৫ + ওলমিডিপ ৫ / ২০ খাইছে পেসার কমে নি ৷ পরের ১০ দিন কার্ডিনর ৫ + ওলমিডিপ ৫ / ৪০ খাইছে কোন কাজ হয়নি এর পরের ১০ দিন কার্ডিনর ৫ + ডয়ুপ্রেস ৫ / ৪০ খাইছে কোন কাজ হয় ৷ এখন কি করা জেতে পারে,বয়স ৬৫ । ব্লাড পেসার ১৬০ / ১০০ ১০ দিন ৷ কার্ডিনর ৫ + ওলমিডিপ ৫ / ২০ খাইছে ৷ পরের ১০ দিন কার্ডিনর ৫ + ওলমিডিপ ৫ / ৪০ খাইছে এর পরের ১০ দিন কার্ডিনর ৫ + ডয়ুপ্রেস ৫ / ৪০ খাইছে । কোন কাজ হয়নি ৷,"বয়স ৬৫। ব্লাড পেসার সব সময় ১৭০/১১০-এর আশেপাশে থাকে। প্রথম ১৫ দিন কার্ডিনর ৫ + ওলমিডিপ ৫/২০, পরে ১৫ দিন ওলমিডিপ ৫/৪০, এরপর কার্ডিনর ১০ + ডয়ুপ্রেস ৫/৪০ খেয়েও তেমন কমেনি। কোন কাজ হয়নি।",yes
4136::Non-factual,4136,Non-factual,আমার বাবা বয়স ৬৫ তার ব্লাড পেসার সব সময় ১৬০ / ১০০ কিংবা তার চেয়ে বেশি থাকে এক ডাঃ এর পরামর্শ তে ৷ ১০ দিন ৷ কার্ডিনর ৫ + ওলমিডিপ ৫ / ২০ খাইছে পেসার কমে নি ৷ পরের ১০ দিন কার্ডিনর ৫ + ওলমিডিপ ৫ / ৪০ খাইছে কোন কাজ হয়নি এর পরের ১০ দিন কার্ডিনর ৫ + ডয়ুপ্রেস ৫ / ৪০ খাইছে কোন কাজ হয় ৷ এখন কি করা জেতে পারে,বয়স ৬৫ । ব্লাড পেসার ১৬০ / ১০০ ১০ দিন ৷ কার্ডিনর ৫ + ওলমিডিপ ৫ / ২০ খাইছে ৷ পরের ১০ দিন কার্ডিনর ৫ + ওলমিডিপ ৫ / ৪০ খাইছে এর পরের ১০ দিন কার্ডিনর ৫ + ডয়ুপ্রেস ৫ / ৪০ খাইছে । কোন কাজ হয়নি ৷,"বয়স ৬৫। ব্লাড পেসার সব সময় ১৭০/১১০-এর কাছাকাছি ১৫ দিন। প্রথমে কার্ডিনর ৫ + ওলমিডিপ ৫/২০ খেয়েছে। পরের ১০ দিন কার্ডিনর ১০ + ওলমিডিপ ৫/৪০ খেয়েছে, এরপর ১০ দিন কার্ডিনর ৫ + ডয়ুপ্রেস",yes
17725::Intrinsic,17725,Intrinsic,অনেক দিন ধরে আমার ঘুম হয়না ডাক্তারের কাছে গিয়েছিলাম ডাক্তার ঔষধ লিখে দেয় আমি ঔষধ খেয়েছি কিন্তু আমার ঘুম হয়না * * * যে ঔষধ আমি খেয়েছি এগুলো হলো ( 1 ) = মাইলাম ( 2 ) = রিবোটিল 2এম জি ( 3 ) = মিরতাজ 15 ( 4 ) = ডিসোপেন 2এম জি ( 5 ) = ডিসোপেন 0 . 5এম জি ( 6 ) = নরিওম 10 এই ঔষধ গোলা আমি খেয়েছি এখনো আমার ঘুম হয়না আমি এখন কি করবো,"ঘুম হয় না । মাইলাম , রিবোটিল ২ এমজি , মিরতাজ ১৫ , ডিসোপেন ২ এমজি , ডিসোপেন ০ . ৫ এমজি , নরিওম ১০ খেয়েছি । কি করনীয় ?","অনেক মাস ধরে তীব্র ঘুমের সমস্যা। মাইলাম, রিবোটিল ১ এমজি, মিরতাজ ৩০, ডিসোপেন ০.৫ এমজি ও নরিওম ১০ খেয়েও ঘুম হচ্ছে না। এখন কী করণীয়?",yes
4136::Factual Contradiction,4136,Factual Contradiction,আমার বাবা বয়স ৬৫ তার ব্লাড পেসার সব সময় ১৬০ / ১০০ কিংবা তার চেয়ে বেশি থাকে এক ডাঃ এর পরামর্শ তে ৷ ১০ দিন ৷ কার্ডিনর ৫ + ওলমিডিপ ৫ / ২০ খাইছে পেসার কমে নি ৷ পরের ১০ দিন কার্ডিনর ৫ + ওলমিডিপ ৫ / ৪০ খাইছে কোন কাজ হয়নি এর পরের ১০ দিন কার্ডিনর ৫ + ডয়ুপ্রেস ৫ / ৪০ খাইছে কোন কাজ হয় ৷ এখন কি করা জেতে পারে,বয়স ৬৫ । ব্লাড পেসার ১৬০ / ১০০ ১০ দিন ৷ কার্ডিনর ৫ + ওলমিডিপ ৫ / ২০ খাইছে ৷ পরের ১০ দিন কার্ডিনর ৫ + ওলমিডিপ ৫ / ৪০ খাইছে এর পরের ১০ দিন কার্ডিনর ৫ + ডয়ুপ্রেস ৫ / ৪০ খাইছে । কোন কাজ হয়নি ৷,বয়স ৬৫। ব্লাড পেসার সব সময় ১২০/৮০-এর মতো স্বাভাবিক থাকে। ১০ দিন কার্ডিনর ৫ + ওলমিডিপ ৫/২০ খেয়ে পেসার কমে গেছে। পরের ১০ দিন কার্ডিনর ৫ + ওলমিডিপ ৫/৪০ এবং এরপর কার্ডিনর ৫ + ডয়ুপ্রেস ৫/,yes
17725::Non-factual,17725,Non-factual,অনেক দিন ধরে আমার ঘুম হয়না ডাক্তারের কাছে গিয়েছিলাম ডাক্তার ঔষধ লিখে দেয় আমি ঔষধ খেয়েছি কিন্তু আমার ঘুম হয়না * * * যে ঔষধ আমি খেয়েছি এগুলো হলো ( 1 ) = মাইলাম ( 2 ) = রিবোটিল 2এম জি ( 3 ) = মিরতাজ 15 ( 4 ) = ডিসোপেন 2এম জি ( 5 ) = ডিসোপেন 0 . 5এম জি ( 6 ) = নরিওম 10 এই ঔষধ গোলা আমি খেয়েছি এখনো আমার ঘুম হয়না আমি এখন কি করবো,"ঘুম হয় না । মাইলাম , রিবোটিল ২ এমজি , মিরতাজ ১৫ , ডিসোপেন ২ এমজি , ডিসোপেন ০ . ৫ এমজি , নরিওম ১০ খেয়েছি । কি করনীয় ?","ঘুম হয় না। প্রায় ৬ মাস ধরে সমস্যা। মাইলাম, রিবোটিল ১ এমজি, মিরতাজ ৩০, ডিসোপেন ২ এমজি, ডিসোপেন ০.৫ এমজি, নরিওম ১০ খেয়েছি। কী করণীয়?",yes
17778::Intrinsic,17778,Intrinsic,আমার বাচ্চার বয়স ১১ মাস । ওজন ৮ কেজি । গতকাল থেকে ওর জ্বর । সর্দি বা কাশি নাই । জ্ব্রর ১০১ / ১০২°ফা থাকে । এইস সাপোসিটার ডোজ ১২৫ দেয়ার পরও জ্বর সহজে পড়েনা । সিরাপ বা অন্য কোন খাবার খেতে চাচ্ছেনা । মায়ের দুধ খাচ্ছে । জোর করে সিরাপ খাওয়াতে গেলে বমি করে দেয় । পরামর্শ দিলে উপকৃত হব ।,৫৬ বছর বয়সী মহিলা বাত ব্যথা ও মাথা ঘুরানোর ওষুধ খান । ওষুধ খাবার পরেও গ্যাস্ট্রিক এর সমস্যা কমছেনা ।,"৫৮ বছর বয়সী মহিলা দীর্ঘদিনের বাতের ব্যথা ও মাথা ঘোরার জন্য নিয়মিত ওষুধ নিচ্ছেন। ওষুধ শুরুর পর থেকে গ্যাস্ট্রিকের জ্বালা, বুকজ্বালা ও বমিভাব আরও বেড়েছে, কিন্তু তেমন উপশম হচ্ছে না।",yes
17725::Factual Contradiction,17725,Factual Contradiction,অনেক দিন ধরে আমার ঘুম হয়না ডাক্তারের কাছে গিয়েছিলাম ডাক্তার ঔষধ লিখে দেয় আমি ঔষধ খেয়েছি কিন্তু আমার ঘুম হয়না * * * যে ঔষধ আমি খেয়েছি এগুলো হলো ( 1 ) = মাইলাম ( 2 ) = রিবোটিল 2এম জি ( 3 ) = মিরতাজ 15 ( 4 ) = ডিসোপেন 2এম জি ( 5 ) = ডিসোপেন 0 . 5এম জি ( 6 ) = নরিওম 10 এই ঔষধ গোলা আমি খেয়েছি এখনো আমার ঘুম হয়না আমি এখন কি করবো,"ঘুম হয় না । মাইলাম , রিবোটিল ২ এমজি , মিরতাজ ১৫ , ডিসোপেন ২ এমজি , ডিসোপেন ০ . ৫ এমজি , নরিওম ১০ খেয়েছি । কি করনীয় ?","ঘুম এখন ঠিকমতো হচ্ছে। মাইলাম, রিবোটিল ২ এমজি, মিরতাজ ১৫, ডিসোপেন ২ এমজি, ডিসোপেন ০.৫ এমজি, নরিওম ১০ খাননি। কি করনীয়?",yes
17778::Non-factual,17778,Non-factual,আমার বাচ্চার বয়স ১১ মাস । ওজন ৮ কেজি । গতকাল থেকে ওর জ্বর । সর্দি বা কাশি নাই । জ্ব্রর ১০১ / ১০২°ফা থাকে । এইস সাপোসিটার ডোজ ১২৫ দেয়ার পরও জ্বর সহজে পড়েনা । সিরাপ বা অন্য কোন খাবার খেতে চাচ্ছেনা । মায়ের দুধ খাচ্ছে । জোর করে সিরাপ খাওয়াতে গেলে বমি করে দেয় । পরামর্শ দিলে উপকৃত হব ।,৫৬ বছর বয়সী মহিলা বাত ব্যথা ও মাথা ঘুরানোর ওষুধ খান । ওষুধ খাবার পরেও গ্যাস্ট্রিক এর সমস্যা কমছেনা ।,৬০ বছর বয়সী মহিলা বাত ব্যথা ও মাথা ঘোরার জন্য নাপ্রোক্সেন ও বেটাহিস্টিন খান। ওষুধ খাওয়ার পরও গত ১০ দিন ধরে গ্যাস্ট্রিকের সমস্যা কমছে না।,yes
17778::Factual Contradiction,17778,Factual Contradiction,আমার বাচ্চার বয়স ১১ মাস । ওজন ৮ কেজি । গতকাল থেকে ওর জ্বর । সর্দি বা কাশি নাই । জ্ব্রর ১০১ / ১০২°ফা থাকে । এইস সাপোসিটার ডোজ ১২৫ দেয়ার পরও জ্বর সহজে পড়েনা । সিরাপ বা অন্য কোন খাবার খেতে চাচ্ছেনা । মায়ের দুধ খাচ্ছে । জোর করে সিরাপ খাওয়াতে গেলে বমি করে দেয় । পরামর্শ দিলে উপকৃত হব ।,৫৬ বছর বয়সী মহিলা বাত ব্যথা ও মাথা ঘুরানোর ওষুধ খান । ওষুধ খাবার পরেও গ্যাস্ট্রিক এর সমস্যা কমছেনা ।,৫৬ বছর বয়সী মহিলা বাত ব্যথা ও মাথা ঘুরানোর কোনো ওষুধ খান না। ওষুধ না খেয়েও গ্যাস্ট্রিকের সমস্যা অনেক কমে গেছে।,yes
19396::Non-factual,19396,Non-factual,"মন থেকে যেদিক খেয়াল রাখি বেশি মন দিয়ে ওর দিকই ধ্যন রাখি , মনে হয় ওখানে কোন সমস্য আছে , এই ধরেন আমার ডান পাসের অন্ডকোসে ১দিনের জন্য ব্যথা করছিলো ওর পর থেকে মনে হয় যেন কেমেন হালকা টান টান অনুভব হচ্ছে , আবার যদি বাপ পাসের টাই মনোযোগ দেই ভিতর থেকে অনুভব করি তাইলে মনে হবে , ওটাই সমস্য হচ্চে কিন্তু ওটাই তো কোন সমস্যই নাই , এটা থেকে মুক্তি পেতে কি করতে পারি বলেন প্লিজ",মন যেটা নিয়ে ভাবে সেটাই সবসময় ভাবে । কি করনীয় ?,"মন যেটা নিয়ে ভাবে সেটাই সবসময় ভাবে, বিশেষ করে ডান পাশের অণ্ডকোষে ৩ দিন ধরে হালকা টান টান ব্যথা অনুভব হচ্ছে। কী করণীয়?",yes
