id,context,question,correct_answer,is_hallucinated
bengali-8835875250524667479-0,"রিচার্ড উইড উইডমার্ক (ডিসেম্বর ২৬, ১৯১৪-মার্চ ২৪, ২০০৮) একজন মার্কিন চলচ্চিত্র, মঞ্চ, এবং টেলিভিশন অভিনেতা ও প্রযোজক।   তিনি তাঁর সর্বপ্রথম অভিনীত চলচ্চিত্র “কিস অফ ডেথ” – এ টমি উডো নামে একজন খলনায়কের ভূমিকায় অভিনয়ের জন্য অস্কার মনোনয়ন পেয়েছিলেন। তিনি গোল্ডেন গ্লোব জয়ী হন সবচেয়ে উজ্জ্বল নবাগত হিসেবে। অভিনয় জীবনের শুরুর দিকে তিনি নোয়া চলচ্চিত্রে খলনায়কের ভূমিকায় বেশী অভিনয় করেন, তবে পরে তিনি নায়কের চরিত্রে অভিনয় করেন ওয়েস্টার্ন, নাট্য এবং ভয়ের চলচ্চিত্রে। চলচ্চিত্র জগতে অবদানের জন্য হলিউড ওয়াক অফ ফেইম-এ উইডমার্কের একটি তারকা আছে।","মার্কিন চলচ্চিত্র, মঞ্চ, এবং টেলিভিশন অভিনেতা ও প্রযোজক রিচার্ড উইড উইডমার্কের অভিনীত প্রথম চলচ্চিত্রের নাম কী ?",কিস অফ ডেথ,no
bengali-1787623261283241578-0,"সাইয়েদ কুতুব (/ˈkuːtəb/[1]/ˈkʌtəb/; Egyptian Arabic pronunciation:[ˈsæjjed ˈʔotˤb], Arabic:[ˈsæjjɪd ˈqʊtˤb]; Arabic: سيد قطب‎  (১৯০৬ - ২৫ আগস্ট ১৯৬৬) হলেন একজন মিশরীয় ইসলামী চিন্তাবিদ এবং বিপ্লবী রাজনৈতিক সংগঠক। তিনি মিশরের ইসলামী আন্দোলনের প্রধান সংগঠন ইখওয়ানুল মুসলিমিন দলের মুখপত্র ইখওয়ানুল মুসলিমিন'এর সম্পাদক ছিলেন। তাকে তৎকালীন সরকার ফাঁসির আদেশ দেয় এবং এভাবেই তাকে মৃত্যুবরণ করতে হয়।",সাইয়েদ কুতুব মিশরের কোন রাজনৈতিক দলের সাথে যুক্ত ছিলেন ?,ইখওয়ানুল মুসলিমিন,no
bengali--5394904407063095222-2,"শেখ মোহাম্মদ সুলতান আগস্ট ১০, ১৯২৩ সালে তৎকালীন পূর্ব বাংলা, ব্রিটিশ ভারত (বর্তমান বাংলাদেশ) নড়াইলের মাসিমদিয়া গ্রামে জন্মগ্রহণ করেন।[4][5] তার জন্ম হয়েছিল দরিদ্র কৃষক-পরিবারে।তার মায়ের নাম মোছাম্মদ মেহেরুননেসা।  তার বাবা শেখ মোহাম্মদ মেসের আলী পেশায় ছিলেন রাজমিস্ত্রী।[2][4] তবে কৃষিকাজই ছিল তার বাবার মূল পেশা, পাশাপাশি বাড়তি আয়ের জন্য ঘরামির কাজ করতেন। সুলতান ছিলেন পরিবারের একমাত্র সন্তান।[5] শৈশবে পরিবারের সবাই তাকে লাল মিয়া বলে ডাকতো। বিদ্যালয়ে পড়ানোর মতো সামর্থ্য তার পরিবারের না থাকলেও ১৯২৮ সালে নড়াইলের ভিক্টোরিয়া কলেজিয়েট স্কুলে তাকে ভর্তি করানো হয়। তবে মাত্র পাঁচ বছর অধ্যয়নের পর তিনি সেই বিদ্যালয়ে ছেড়ে বাড়ি ফিরে বাবার সহোযোগী হিসেবে রাজমিস্ত্রীর কাজ শুরু করেন। এ সময় বারার ইমারত তৈরির কাজ সুলতানকে প্রভাবিত করে এবং তিনি রাজমিস্ত্রীর কাজের ফাঁকে আঁকা-আঁকি শুরু করেন। সুলতানের বাল্যবয়সের চরিত্র-গঠন সম্পর্কে আহমদ ছফা লিখেছেন:[5]",শেখ মোহাম্মদ সুলতানের মায়ের নাম কি ছিল ?,মোছাম্মদ মেহেরুননেসা,yes
bengali--8651108802342100600-1,কক্সবাজার জেলার মোট আয়তন ২৪৯১.৮৬ বর্গ কিলোমিটার।[1],বাংলাদেশের কক্সবাজার জেলার মোট আয়তন কত ?,২৪৯১.৮৬ বর্গ কিলোমিটার,yes
bengali--989226231475750748-0,খাদিজা বিনতে খুওয়াইলিদ (Arabic: خديجة بنت خويلد‎) হলেন ইসলাম গ্রহণকারী প্রথম ব্যক্তি এবং এই মহাবিশ্বের সর্বশেষ নবী মুহাম্মদ (স.) এর প্রথম স্ত্রী।[1] তার কুনিয়া উম্মু হিন্দ এবং উপাধি তাহিরা। ইসলামের গ্রহণের আগেই পবিত্র চরিত্রের জন্য তাহিরা উপাধি লাভ করেন; যার অর্থ পবিত্র।[2],নবী মুহাম্মদের প্রথম স্ত্রীর নাম কী ?,খাদিজা বিনতে খুওয়াইলিদ,yes
bengali-6101468669223503112-13,নাতিদীর্ঘ আঠারো পংক্তির নিরেট স্থাপত্যের এই গীতিকবিতায় রয়েছে ছয় পংক্তির তিনটি স্তবক। প্রথম স্তবকে কবি মূলত নিজের কথা বলেছেন; দ্বিতীয় স্তবকে বলেছেন এক ঝলক দেখা প্রিয় মুখের কথা এবং তৃতীয় স্তবকে বলেছেন একটি স্বপ্নের কথা। কবিতাটি জীবনানন্দ দাশের প্রিয় ছন্দ অক্ষরবৃত্ত বা পয়ারে রচিত। তবে পর্ব বিন্যাসে সমতা রক্ষা করা হয় নি।,বনলতা সেন কবিতাটিতে মোট কতগুলি পংক্তি আছে ?,আঠারো,yes
bengali--699522616384955754-0,"টোকিও বা তৌকিঔ[টীকা 1] (জাপানি ভাষায়: 東京 তৌক্যৌ) পূর্ব এশিয়ার প্রশান্ত মহাসাগরীয় দ্বীপরাষ্ট্র জাপানের বৃহত্তম শহর ও রাজধানী। সরকারীভাবে এটি তৌকিঔ-তো (東京都) অর্থাৎ টোকিও মহানগরী নামে পরিচিত। এটিকে জাপানের ৪৭টি জেলার একটি হিসেবে গণ্য করা হয়।[1][2] টোকিও বিশ্বের সবচেয়ে ঘনবসতিপূর্ণ শহরগুলির একটি। এর আয়তন প্রায় ২৪০ বর্গকিলোমিটার। মূল শহরে প্রায় ৯০ লক্ষ লোকের বাস। বৃহত্তর টোকিও মহানগর এলাকাতে প্রায় ১ কোটি ৩০ লক্ষ লোকের বাস, যা জাপানের মোট জনসংখ্যার এক দশমাংশ; এটি বিশ্বের সবচেয়ে জনবহুল বৃহত্তর মহানগর এলাকা।[3] টোকিও থেকে বন্দরনগরী ইয়োকোহামা পর্যন্ত অঞ্চলটি অবিচ্ছিন্নভাবে জন-অধ্যুষিত বলে কিছু বিশেষজ্ঞ টোকিও-ইয়োকোহামাকে একটিমাত্র মহানগর এলাকা হিসেবে গণ্য করেন, যার জনসংখ্যা প্রায় ৩ কোটি ৮০ লক্ষ।",টোকিও শহরের বর্তমান জনসংখ্যা কত ?,৩ কোটি ৮০ লক্ষ,no
bengali-802268299326091752-3,"জাবির ইবন হাইয়ান ৭২২ খ্রিস্টাব্দে তুস, পারস্যে জন্ম গ্রহণ করেন।[4] ধ্রুপদী সূত্র অনিয়ায়ী জাবির ভিন্নভাবে আল-আযদি বা আল-বারিজি বা আল-কুফি বা আল-তুসি বা আল-সুফী হিসেবে অধিকারী হয়েছেন।[8] তার জন্ম স্থান নিয়ে মত পার্থক্য রয়েছে, কারো মতে তিনি ছিলেন একজন খোরাসান, পারস্য যিনি পরে কুফাতে যান, অন্যদের মতে তিনি ছিলেন সিরিয়া আদিবাসি পরে তিনি পারস্য ও ইরাকে বসবাস করেন।[8] তার পূর্বপুরুষগনের পটভূমি স্পষ্ট নয়, কিন্তু অধিকাংশ সূত্র তাকে একজন ফার্সি হিসেবে উল্লেখ করে।[3] কিছু সূত্রে জানা যায় যে, তার পিতা ছিলেন হাইয়ান আল-আযদি। তিনি ছিলেন আরব আযদ উপজাতির একজন ফার্মাসিস্ট যিনি উমাইয়া খিলাফতের সময় ইয়েমেন থেকে কুফাতে প্রবসিত হন।[9][10]",আবু মুসা জাবির ইবন হাইয়ান কোন দেশের নাগরিক ছিলেন ?,পারস্যে,yes
bengali-3899801023894099148-18,"উত্তরপ্রদেশ রাজ্যে বিভিন্ন প্রজাতির  পাখিও দেখা যায়।[78] সাধারণ পাখির মধ্যে পায়রা, ময়ূর, বনমোরগ, ব্ল্যাক প্যাট্রিজ, পাতি চড়ুই, সংবার্ড, ব্লু জে, প্যারাকিট, কোয়েল, বুলবুল, নাকতা হাঁস, মাছরাঙ্গা, কাঠঠোকরা, কাদাখোঁচা ও টিয়াপাখি উল্লেখযোগ্য। রাজ্যের পাখিরালয়গুলি হল বাখিরা অভয়ারণ্য, জাতীয় চম্বল অভয়ারণ্য, চন্দ্রপ্রভা অভয়ারণ্য, হস্তিনাপুর অভয়ারণ্য, কাইমুর অভয়ারণ্য ও ওখলা অভয়ারণ্য।[79]",হস্তিনাপুর বর্তমানে কোন রাজ্যে অবস্থিত ?,উত্তরপ্রদেশ,yes
bengali-1638855418388935684-0,"স্টিভ জবস (পুরোনাম: স্টিভেন পল জবস) (English: Steven Paul ""Steve"" Jobs) (জন্ম ফেব্রুয়ারি ২৪, ১৯৫৫, মৃত্যু ৫ অক্টোবর ২০১১)[10][11] যুক্তরাষ্ট্রের একজন উদ্যোক্তা ও প্রযুক্তি উদ্ভাবক। তাকে পার্সোনাল কম্পিউটার বিপ্লবের পথিকৃৎ বলা হয়। তিনি স্টিভ ওজনিয়াক এবং রোনাল্ড ওয়েন -এর সাথে ১৯৭৬ খ্রিস্টাব্দে ""অ্যাপল কম্পিউটার"" প্রতিষ্ঠা করেন। তিনি অ্যাপল ইনকর্পোরেশনের প্রতিষ্ঠাতাদের অন্যতম ও সাবেক প্রধান নির্বাহী কর্মকর্তা। তিনি ""পিক্সার এ্যানিমেশন স্টুডিওস""-এরও প্রতিষ্ঠাতাদের অন্যতম ও সাবেক প্রধান নির্বাহী কর্মকর্তা। ১৯৮৫ সালে অ্যাপল ইনকর্পোরেশনের ""বোর্ড অব ডিরেক্টর্সের"" সদস্যদের সাথে বিরোধে জড়িয়ে তিনি অ্যাপল ইনকর্পোরেশনের থেকে পদত্যাগ করেন এবং নেক্সট কম্পিউটার প্রতিষ্ঠা করেন। ১৯৯৬ সালে অ্যাপল কম্পিউটার নেক্সট কম্পিউটারকে কিনে নিলে তিনি অ্যাপলে ফিরে আসেন। তিনি ১৯৯৫ সালে টয় স্টোরি নামের অ্যানিমেটেড চলচ্চিত্র প্রযোজনা করেন।",অ্যাপল ইনকর্পোরেটেডের প্রতিষ্ঠাতা কে ?,স্টিভ ওজনিয়াক এবং রোনাল্ড ওয়েন,yes
bengali--622926988234538194-4,"""বনলতা সেন"" কবিতাটি প্রথম প্রকাশ করেছিলেন কবি বুদ্ধদেব বসু তাঁর কবিতা পত্রিকায়। ১৯৩৫ খ্রিষ্টাব্দের ডিসেম্বরে প্রকাশিত কবিতার পৌষ, ১৩৪২ সংখ্যার মাধ্যমে বনলতা সেন সর্বপ্রথম পাঠকের হাতে এসে পৌঁছায়। জীবনানন্দ দাশ বাংলা ১৩৪৯, ইংরেজি ডিসেম্বর ১৯৪২ খ্রিষ্টাব্দে প্রকাশিত তাঁর বনলতা সেন নামক তৃতীয় কাব্যগ্রন্থে কবিতাটি অন্তর্ভুক্ত করেন। কবিতা-ভবন কর্তৃক প্রকাশিত ""এক পয়সায় একটি"" গ্রন্থমালার অন্তর্ভুক্ত হিসেবে। প্রকাশক ছিলেন জীবনানন্দ দাশ নিজেই। ১৬ পৃষ্ঠার প্রথম সংস্করণে কবিতা ছিল মোট ১২টি। প্রথম সংস্করণের প্রচ্ছদ করেছিলেন শম্ভু সাহা।[1] পরবর্তীকালে জীবনানন্দ দাশ ১৯৪৪ এ প্রকাশিত তাঁর চতুর্থ কাব্য মহাপৃথিবীতে উক্ত বনলতা সেন কাব্যগ্রন্থের সকল কবিতাই অন্তর্ভুক্ত করেছিলেন। অর্থাৎ ‘‘মহাপৃথিবী’’ কাব্যগ্রন্থেরও প্রথম কবিতা ছিল ’বনলতা সেন’।","জীবনানন্দ দাশ রচিত ""বনলতা সেন"" কবিতাটি কোন সালে প্রথম প্রকাশিত হয় ?",১৯৩৫,yes
bengali--381183395494440070-4,"কাউডাটা বা লেজযুক্ত উভচর; এদের মধ্যে আছে সাইরেন, সালামান্ডার, ও নিউট। অ্যানুরা বা লেজবিহীন উভচর; এদের মধ্যে আছে বিভিন্ন জাতের ব্যাঙ। জিম্নোফিওনা; এরা অনেকটা কেঁচোসদৃশ, যেমন সিসিলিয়ান।",ব্যাঙ কোন বর্গের প্রাণী ?,অ্যানুরা,yes
bengali-3835788684367493599-2,"সাহাবীগণ ইসলামের সর্বশেষ নবীর কথা ও কাজের বিবরণ অত্যন্ত আগ্রহ সহকারে স্মরণ রাখতেন। আবার কেউ কেউ তার অনুমতি সাপেক্ষে কিছু কিছু হাদীস লিখে রাখতেন। এভাবে তার জীবদ্দশায় স্মৃতিপটে মুখস্ত করে রাখার সাথে সাথে কিছু হাদীস লিখিত আকারে লিপিবদ্ধ ছিল। হযরত আলী, হযরত আবদুল্লাহ ইবনে ওমর, হযরত আবদুল্লাহ ইবনে আব্বাস, হযরত আনাস ইবনে মালিক প্রমুখ সাহাবীগণ কিছু কিছু হাদীস লিপিবদ্ধ করে রাখতেন। হযরত আবূ হুরায়রা বলেন “আবদুল্লাহ ইবনে আমর ব্যতীত আর কোন সাহাবী আমার অপেক্ষা অধিক হাদীস জানতেননা। কারণ, তিনি হাদীস লিখে রাখতেন আর আমি লিখতাম না।” নবীর জীবদ্দশায় ইসলামী রাষ্ট্রের প্রশাসনিক বহু কাজকর্ম লিখিতভাবে সম্পাদনা করা হতো। বিভিন্ন এলাকার শাসনকর্তা, সরকারী কর্মচারী এবং জনসাধারনের জন্য বিভিন্ন সময়ে বিভিন্ন বিষয়ে লিখিত নির্দেশ প্রদান করা হতো। তাছাড়া রোম, পারস্য প্রভৃতি প্রতিবেশী দেশসমূহের সম্রাটদের সাথে পত্র বিনিময়, ইসলামের দাওয়াত এবং বিভিন্ন গোত্র ও সম্প্রদায়ের সাথে চুক্তি ও সন্ধি লিখিতভাবে সম্পাদন করা হতো। আর ইসলামের নবীর আদেশক্রমে যা লেখা হতো তাও হাদীসের অন্তর্ভুক্ত। ইসলামের নবীর মৃত্যুর পর বিভিন্ন কারণে হাদীস সংকলনের প্রয়োজনীয়তা দেখা দেয়। কুরআন মাজীদের সাথে হাদীস সংমিশ্রণ হওয়ার আশংকায় কুরআন পুর্ণ গ্রন্থাকারে লিপিবদ্ধ না হওয়া পর্যন্ত হাদীস লিপিবদ্ধ করতে কেউ সাহস পায়নি। আবূ বকরের আমলে কুরআন মজীদ গ্রন্থাকারে লিপিবদ্ধ হলে সাহাবীগণ হাদীস লিপিবদ্ধ করার ব্যাপারে আর কোন বাধা আছে বলে অনুভব করেননি। হিজরী প্রথম শতাব্দীর শেষভাগে সাহাবি ও তাবেয়ীগণ প্রয়োজন অনুসারে কিছু হাদীস লিপিবদ্ধ করেন। অতঃপর উমাইয়া খলিফা উমর ইবনে আব্দুল আযীয হাদীস সংগ্রহের জন্য মদীনার শাসনকর্তা আবু বকর বিন হাজম সহ মুসলিমবিশ্বের বিভিন্ন এলাকার শাসনকর্তা ও আলিমগণের কাছে একটি ফরমান জারী করেন যে, আপনারা মহানবী (সাঃ) হাদীসসমূহ সংগ্রহ করুন। কিন্তু সাবধান! মহানবী (সাঃ) এর হাদীস ব্যতীত অন্য কিছু গ্রহন করবেননা। আর আপনার নিজ নিজ এলাকায় মজলিস প্রতিষ্ঠা করে আনুষ্ঠানিকভাবে হাদীস শিক্ষা দিতে থাকুন। কেননা, জ্ঞান গোপন থাকলে তা একদিন বিলুপ্ত হয়ে যায়। এই আদেশ জারীর পর মক্কা, মদীনা, সিরিয়া, ইরাক এবং অন্যান্য অঞ্চলে হাদীস সংকলনের কাজ শুরু হয়। কথিত আছে যে, প্রখ্যাত মুহাদ্দিস ইমাম ইবনে শিহাব যুহরী সর্বপ্রথম হাদীস সংগ্রহ এবং সংকলনে হাত দেন। কিন্তু তাঁর সংকলিত হাদীসগ্রন্থের সন্ধান পাওয়া যায়নি। এরপর ইমাম ইবনে জুরাইজ মক্কায়, ইমাম মালিক মদীনায়, আবদুল্লাহ ইবনে আব্দুল ওয়াহহাব মিসরে, আব্দুর রাজ্জাক ইয়েমেনে, আবদুল্লাহ ইবনে মুবারক খুরাসানে, এবং সূফিয়ান সাওরী ও হাম্মাদ ইবনে সালমা বসরায় হাদীস সংকলনে আত্ননিয়োগ করেন। এ যুগের ইমামগণ কেবল দৈনন্দিন জীবনে প্রয়োজনীয় হাদীসগুলো ও স্থানীয় হাদীস শিক্ষাকেন্দ্রে প্রাপ্ত হাদীসসমূহ লিপিবদ্ধ করেছিলেন। তাঁদের কেউই বিষয়বস্তু হিসেবে বিন্যাস করে হাদীসসমূহ লিপিবদ্ধ করেননি। এ যুগে লিখিত হাদীস গ্রন্থসমূহের মধ্যে ইমাম মালিকের “মুয়াত্তা” সর্বপ্রথম ও সর্বপ্রধান প্রামান্য হাদীসগ্রন্থ। ইমাম মালিকের “মুয়াত্তা” গ্রন্থটি হাদীস সংকলনের ব্যাপারে বিপুল-উৎসাহ উদ্দিপনার সৃষ্টি করেছিল। এটি হাদীসশাস্ত্র অধ্যায়নে মুসলিম মণিষীদের প্রধান আর্কষণে পরিণত হয়েছিল। এরই ফলশ্রূতিতে তৎকালীন মুসলিম বিশ্বে সর্বত্র হাদীসচর্চার কেন্দ্র স্হাপিত হতে থাকে। ইমাম শাফঈ এর কিতাবুল “উম্ম” এবং ইমাম আহমাদ বিন হাম্বলের “মাসনাদ” গ্রন্থদ্বয় হাদীসের উপর গুরুত্বপুর্ণ গ্রন্থ হিসেবে বিবেচিত। অতঃপর হিজরী তৃতীয় শতাব্দীতে অনেক মুসলিম মণিষী বিশ্বের বিভিন্ন অঞ্চল থেকে প্রচুর হাদীস সংগ্রহ করেন। তন্মধ্যে বিখ্যাত হলেন ইমাম বুখারী, ইমাম মুসলিম, ইমাম আবূ দাউদ, ইমাম তিরমিজী, ইমাম নাসাঈ, এবং ইমাম ইবনে মাজাহ। এদের সংকলিত হাদীস গ্রন্থগুলো হলো সহীহ বুখারী, সহীহ মুসলিম, সুনানে আবূ দাউদ, জামি’ আত-তিরমিযী, সূনানে নাসাঈ এবং সূনানে ইবনে মাজাহ্। এই ছয়খানা হাদীসগ্রন্থকে সন্মিলিতভাবে সিহাহ সিত্তাহ বা ছয়টি বিশুদ্ধ হাদীসগ্রন্থ বলা হয়। আব্বাসিয় যুগে হাদীস লিপিবদ্ধের কাজ পরিসমাপ্ত হয়।[1]",হাদীস কে বা কারা রচনা করেন ?,"হযরত আলী, হযরত আবদুল্লাহ ইবনে ওমর, হযরত আবদুল্লাহ ইবনে আব্বাস, হযরত আনাস ইবনে মালিক প্রমুখ সাহাবীগণ",no
bengali-5730130221372563642-10,"২০১৬ সালের ২৩ জুলাই হৃদরোগে আক্রান্ত হয়ে মহাশ্বেতা দেবী কলকাতার বেল ভিউ ক্লিনিকে ভর্তি হন। সেই বছরই ২৮ জুলাই একাধিক অঙ্গ বিকল হয়ে তাঁর মৃত্যু ঘটে।[15] তিনি মধুমেহ, সেপ্টিসেমিয়া ও মূত্র সংক্রমণ রোগেও ভুগছিলেন।[6]",ভারতীয় বাঙালি কথাসাহিত্যিক মহাশ্বেতা দেবীর মৃত্যু কবে হয় ?,২০১৬ সালের ২৩ জুলাই,yes
bengali-2163425666649830741-9,"ইহুদি মহল্লা (Hebrew: הרובע היהודי‎, HaRova HaYehudi, known colloquially to residents as HaRova, Arabic: حارة اليهود‎, Ḩārat al-Yahūd) শহরের দক্ষিণ পশ্চিম প্রান্তে অবস্থিত। এটি দক্ষিণে জায়ন গেট থেকে পশ্চিমে আর্মেনীয় মহল্লা নিয়ে উত্তরে কারডো এবং পূর্বে পশ্চিম দেয়াল ও টেম্পল মাউন্ট পর্যন্ত বিস্তৃত। এই মহল্লার সমৃদ্ধ ইতিহাস রয়েছে। খ্রিষ্টপূর্ব অষ্টম শতক থেকে এখানে ইহুদিরা ধারাবাহিকভাবে বসবাস করে আসছে।[17][18][19][20][21][22] ১৯৪৮ সালে এর ২,০০০ ইহুদিকে অবরোধ করা হয় এবং সবাইকে স্থান ত্যাগ করতে বাধ্য করা হয়।[23] মহল্লাটি সম্পূর্ণরূপে অধীকৃত হয় ও এর প্রাচীন সিনাগগগুলো ধ্বংস করা হয়।",ইহুদি মহল্লা কবে স্থাপিত হয় ?,খ্রিষ্টপূর্ব অষ্টম শতক,yes
bengali--3518785176444767715-2,"কোপারনিকাস জন্ম এবং মৃত্যু একই জায়গা রয়েল প্রুশিয়াতে যেটি ১৪৬৬ সালে পর্যন্ত পোল্যান্ড সম্রাজের অন্তর্ভুক্ত ছিল।তিনি একাধারে গনিতবিদ, জ্যোতির্বিদ , পদার্থবিদ , আধুনিক পণ্ডিতবিদ , অনুবাদক, গভর্নর কূটনীতিক এবং অর্থনীতিবিদ ছিলান। ১৫১৭ সালে তিনি অর্থের  একটি পরিমাণ তত্ত্ব বের করেন যাকে অর্থনীতির প্রধান ধারণা বলা যায়। এছাড়াও ১৫১৯ সালে তিনি অর্থনীতির একটি সুত্র প্রদান করে যা পরবর্তীতে গ্রিসমের সূত্র নামে পরিচিত।",বিখ্যাত জ্যোতির্বিজ্ঞানী নিকোলাউস কোপের্নিকুসের জন্ম কোথায় হয় ?,রয়েল প্রুশিয়াতে,no
bengali-3335805239407296143-3,"ঈশ্বর শব্দের মূল ""ঈশ্"" এর অর্থ হল,দক্ষ, মালিক,শাসক।[9] দ্বিতীয় অংশ 'বর' যার আভিধানিক অর্থ হল ""সেরা, চমৎকার, সুন্দর, শাসক""।[10] অতএব, যুগপৎভাবে  ঈশ্বর শব্দের অর্থ হল; সেরা বা সুন্দরের স্রষ্টা।",ঈশ্বর শব্দের অর্থ কী ?,সেরা বা সুন্দরের স্রষ্টা,yes
bengali--2624746090422723703-8,২। মিউটন (Muton): একে জিন মিউটেশনের একক বলা হয়। এতে মিউটেশন সংঘটিত হয়। এক বা একাধিক নিউক্লিওটাইড নিয়ে এটি গঠিত হয়।,জিন মিউটেশনের একক কী ?,মিউটন,yes
bengali--81766440896542958-0,"মুহম্মদ কুদরাত-এ-খুদা বা ড. কুদরাত-এ-খুদা (১ ডিসেম্বর, ১৯০০ - ৩ নভেম্বর, ১৯৭৭) ছিলেন একজন বাংলাদেশী রসায়নবিদ, গ্রন্থকার এবং শিক্ষাবিদ। শিক্ষায় অবদানের জন্য বাংলাদেশ সরকার তাকে ১৯৭৬ সালে একুশে পদক এবং ১৯৮৪ সালে মরণোত্তর স্বাধীনতা পুরস্কারে ভূষিত করে।",মুহম্মদ কুদরাত-এ-খুদা কবে জন্মগ্রহণ করেন ?,"১ ডিসেম্বর, ১৯০০",yes
bengali--6827610236987996069-0,"ক্যাম্ব্রিয়ান হল প্যালিওজোয়িক মহাযুগের প্রথম যুগ।[1] এর স্থায়ীত্ব ছিল  থেকে  কোটি বছর আগে পর্যন্ত এবং এর পরবর্তী যুগের নাম অর্ডোভিশিয়ান।[2] এর সূচনাকাল, সমাপ্তিকাল এবং উপবিভাগ সম্পর্কে স্পষ্ট কোনো নির্দেশিকা এখনও তৈরি করা যায়নি। অ্যাডাম সেজউইক প্রথম ""ক্যাম্ব্রিয়ান সিরিজ"" নাম দিয়ে যুগটিকে চিহ্নিত করেন।[1] এই নামকরণের কারণ হল ওয়েল্‌স অঞ্চল থেকে ব্রিটেনে অবস্থিত এই যুগের পাথর প্রথম আবিষ্কার হয়েছিল, আর ওয়েল্‌সের লাতিন নাম ক্যাম্ব্রিয়া।[3][4] ক্যাম্ব্রিয়ান যুগের পাথরের স্তরের স্বাতন্ত্র্য হল এর মধ্যস্থিত লাগাশ্‌টেটা পলিসঞ্চয়ের মাত্রাধিক্য। এই ধরণের পলিঘটিত পাথরে সুসংরক্ষিত জীবাশ্ম থাকে, যাতে জীবদেহের কঠিন খোলক প্রভৃতি অংশের সাথে সাথে অপেক্ষাকৃত নরম দেহাংশেরও সংরক্ষিত নমুনা পাওয়া যায়। এর ফলে ক্যাম্ব্রিয়ান যুগের জীবন সম্পর্কে মানুষের গবেষণার সুযোগ ও তা থেকে লব্ধ জ্ঞানের পরিমাণ পরবর্তী কোনো কোনো যুগের তুলনায় বেশি।[5]",প্যালিওজোয়িক মহাযুগের দ্বিতীয় যুগটির নাম কী ?,অর্ডোভিশিয়ান,no
bengali--5885375539130721317-9,"উইলিয়াম কেরি (১৭৬১ – ১৮৩৪) ১৮০১ সাল থেকে ১৮৩১ সাল পর্যন্ত ফোর্ট উইলিয়াম কলেজে শিক্ষাদান করেন। এই পর্বে তিনি একটি বাংলা ব্যাকরণ ও অভিধান, একাধিক পাঠ্যপুস্তক, বাংলা বাইবেল এবং একাধিক ভারতীয় ভাষার ব্যাকরণ ও অভিধান প্রণয়ন করেন।[12] জন বোর্থউইক গিলক্রিস্ট (জুন ১৭৫৯ – ১৮৪১) মৃত্যুঞ্জয় তর্কালঙ্কার (১৭৬২ (?) – ১৮১৯) ছিলেন ফোর্ট উইলিয়াম কলেজের প্রথম হেড পণ্ডিত। তিনি একাধিক পাঠ্যপুস্তক রচনা করেন। তাঁকে বাংলা গদ্যের প্রথম ‘সচেতন শিল্পী’ মনে করা হয়।[13] সংস্কৃত পণ্ডিত হয়েও তিনি কলেজের প্রয়োজনে বাংলা লিখতে শুরু করেন। তাঁর উল্লেখযোগ্য গ্রন্থ হল বত্রিশ সিংহাসন (১৮০২), হিতোপদেশ (১৮০৮) ও রাজাবলী (১৮০৮)। মৃত্যুঞ্জয় ইংরেজি জানতেন না। সম্ভবত কলেজের ইংরেজি-জানা পণ্ডিতদের থেকে তিনি তাঁর বইয়ের উপাদান সংগ্রহ করেন।[7] তারিণীচরণ মিত্র (১৭৭২ – ১৮৩৭) ছিলেন ইংরেজি, উর্দু, হিন্দি, আরবি ও ফার্সি ভাষায় পণ্ডিত। তিনি হিন্দুস্তানি ভাষা বিভাগের সঙ্গে যুক্ত ছিলেন। তিনিও বাংলায় অনেক গল্প অনুবাদ করেন।[14] লুল্লুলাল হিন্দি খড়িবোলি গদ্যের জনক। তিনি ফোর্ট উইলিয়াম কলেজের হিন্দুস্তানি ভাষা বিভাগের শিক্ষক ছিলেন। ১৮১৫ সালে আদি হিন্দি সাহিত্যের প্রথম বই তুলসীদাসের বিনয়পত্রিকা মুদ্রণ ও প্রকাশ করেন তিনি।[3] রামরাম বসু (১৭৫৭ – ১৮১৩) কলেজের সঙ্গে যুক্ত ছিলেন। তিনি উইলিয়াম কেরি, জোসুয়া মার্শম্যান ও উইলিয়াম ওয়ার্ডকে প্রথম বাংলা বাইবেল প্রকাশনায় সহায়তা করেন।[3] ঈশ্বরচন্দ্র বিদ্যাসাগর (১৮২০ – ৯১) ১৮৪১ থেকে ১৮৪৬ সাল পর্যন্ত ফোর্ট উইলিয়াম কলেজের হেড পণ্ডিত ছিলেন। এই কলেজে অধ্যাপনাকালে তিনি ইংরেজি ও হিন্দি ভাষায় মনোনিবেশ করেন।[15] মদনমোহন তর্কালঙ্কার (১৮১৭ – ৫৮) ফোর্ট উইলিয়াম কলেজে শিক্ষকতা করতেন। তিনি একাধিক পাঠ্যপুস্তক রচনা করেন।[16]",ফোর্ট উইলিয়াম কলেজের প্রথম অধ্যক্ষ কে ছিলেন ?,মৃত্যুঞ্জয় তর্কালঙ্কার,no
